interceptions_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_interceptions,interceptions_per_game,interception_yards,games_played,year,category
1,Derick,Smith,Derick Smith,/al/selma/southside-panthers/athletes/derick-smith/football/stats/?careerid=vd4m4q647j677,vd4m4q647j677,"WR, FS",Southside,AL,13,13,1.2,263,11,2021,interceptions
2,Donovin,Carraway,Donovin Carraway,/tx/texas-city/texas-city-stingarees/athletes/donovin-carraway/football/stats/?careerid=rcet6f0937rtd,rcet6f0937rtd,"DB, WR",Texas City,TX,13,13,1.1,229,12,2021,interceptions
3,Pofele,Ashlock,Pofele Ashlock,/tx/euless/trinity-trojans/athletes/pofele-ashlock/football/stats/?careerid=jteh19kfpa477,jteh19kfpa477,WR,Trinity,TX,12,12,2.0,49,6,2021,interceptions
4,Taivon,Derisma,Taivon Derisma,/nc/forest-city/chase-trojans/athletes/taivon-derisma/football/stats/?careerid=c9jsluaavc755,c9jsluaavc755,"WR, CB",CHASE,NC,12,12,1.0,0,12,2021,interceptions
5,Jayden,Lewis,Jayden Lewis,/ny/buffalo/lewis-j-bennett-olmsted-middle-early-college-east-tigers/athletes/jayden-lewis/football/stats/?careerid=buvsijt7trrbb,buvsijt7trrbb,"WR, DE",Lewis J. Bennett/Olmsted/Middle Early College/East,NY,12,12,0.9,442,13,2021,interceptions
6,Michael,Whaley,Michael Whaley,/ca/hercules/hercules-titans/athletes/michael-whaley/football/stats/?careerid=fnkcek7le6t55,fnkcek7le6t55,"WR, FS",Hercules,CA,11,11,1.2,45,9,2021,interceptions
7,Markus,Frazier,Markus Frazier,/oh/galena/columbus-crusaders/athletes/markus-frazier/football/stats/?careerid=epv3cbdru93rb,epv3cbdru93rb,"RB, CB",Columbus Crusaders,OH,11,11,1.2,236,9,2021,interceptions
8,Aemon,Aldrich,Aemon Aldrich,/ca/foresthill/foresthill-wildfires/athletes/aemon-aldrich/football/stats/?careerid=hq3c3lbcsdek4,hq3c3lbcsdek4,"CB, WR",Foresthill,CA,11,11,1.1,57,10,2021,interceptions
9,Mason,Hallin,Mason Hallin,/ca/santa-rosa/montgomery-vikings/athletes/mason-hallin/football/stats/?careerid=hj9depcpg2srb,hj9depcpg2srb,"QB, WR",Montgomery,CA,11,11,1.1,144,10,2021,interceptions
10,Wade,Jones,Wade Jones,/in/akron/tippecanoe-valley-vikings/athletes/wade-jones/football/stats/?careerid=407ku8746hiqa,407ku8746hiqa,"SB, FS",Tippecanoe Valley,IN,11,11,1.0,0,11,2021,interceptions
11,Cameron,Haag,Cameron Haag,/il/breese/mater-dei-knights/athletes/cameron-haag/football/stats/?careerid=87hm5a7nhte11,87hm5a7nhte11,"WR, CB",Mater Dei,IL,11,11,1.0,0,11,2021,interceptions
12,Denzel,Miller,Denzel Miller,/fl/crawfordville/wakulla-war-eagles/athletes/denzel-miller/football/stats/?careerid=4sf9j2fenq2o8,4sf9j2fenq2o8,"DB, WB",Wakulla,FL,11,11,0.8,172,13,2021,interceptions
13,Justin,Cook,Justin Cook,/pa/harrisburg/harrisburg-cougars/athletes/justin-cook/football/stats/?careerid=ail9n55lde7dd,ail9n55lde7dd,"WR, CB",Harrisburg,PA,11,11,0.8,217,14,2021,interceptions
14,Jayvin,Thompson,Jayvin Thompson,/pa/monaca/central-valley-warriors/athletes/jayvin-thompson/football/stats/?careerid=6f0odb2rq3ndd,6f0odb2rq3ndd,"SS, WR",Central Valley,PA,11,11,0.7,252,15,2021,interceptions
