passing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,passing_yards,passing_yards_per_game,passing_completions,passing_attempts,completion_percentage,passing_touchdowns,interceptions_thrown,passer_rating,games_played,year,category
1,Grant,Sherman,Grant Sherman,/oh/kenton/kenton-wildcats/athletes/grant-sherman/football/stats/?careerid=c5mgt0osvl8td,c5mgt0osvl8td,QB,Kenton,OH,5920,5920,422.9,440,665,0.662,65,16,117,14,2013,passing
2,Jake,Browning,Jake Browning,/ca/folsom/folsom-bulldogs/athletes/jake-browning/football/stats/?careerid=1mbh944vd3cp9,1mbh944vd3cp9,QB,Folsom,CA,5737,5737,382.5,440,579,0.76,75,17,134,15,2013,passing
3,Travis,Quintanilla,Travis Quintanilla,/tx/refugio/refugio-bobcats/athletes/travis-quintanilla/football/stats/?careerid=5qvg0l1pdm6n7,5qvg0l1pdm6n7,"QB, FS",Refugio,TX,5420,5420,338.8,302,439,0.688,68,11,140,16,2013,passing
4,Shuler,Bentley,Shuler Bentley,/sc/duncan/james-f-byrnes-rebels/athletes/shuler-bentley/football/stats/?careerid=u8saoha6qknvf,u8saoha6qknvf,QB,James F. Byrnes,SC,5032,5032,359.4,293,425,0.689,71,8,141,14,2013,passing
5,Will,Grier,Will Grier,/nc/davidson/davidson-day-patriots/athletes/will-grier/football/stats/?careerid=ep3neefk2qup9,ep3neefk2qup9,"QB, K",Davidson Day,NC,4989,4989,383.8,314,446,0.704,77,11,137,13,2013,passing
6,Colby,Spiece,Colby Spiece,/oh/haviland/wayne-trace-raiders/athletes/colby-spiece/football/stats/?careerid=j40eehfbur6o8,j40eehfbur6o8,"QB, DB",Wayne Trace,OH,4949,4949,329.9,310,535,0.579,64,28,107,15,2013,passing
7,Anthony,Hernandez,Anthony Hernandez,/az/goodyear/desert-edge-scorpions/athletes/anthony-hernandez/football/stats/?careerid=2li8gejapiro8,2li8gejapiro8,QB,Desert Edge,AZ,4662,4662,358.6,271,392,0.691,60,7,141,13,2013,passing
8,Patrick,Mahomes II,Patrick Mahomes II,/tx/whitehouse/whitehouse-wildcats/athletes/patrick-mahomes-ii/football/stats/?careerid=mg5063tc0n622,mg5063tc0n622,QB,Whitehouse,TX,4619,4619,355.3,287,495,0.58,50,6,118,13,2013,passing
9,Brady,White,Brady White,/ca/newhall/hart-hawks/athletes/brady-white/football/stats/?careerid=qf7he5vmtq6k4,qf7he5vmtq6k4,"QB, DB",Hart,CA,4535,4535,302.3,333,524,0.635,41,18,103,15,2013,passing
10,Matthew,Williams,Matthew Williams,/tn/smyrna/lancaster-christian-academy-knights/athletes/matthew-williams/football/stats/?careerid=3cr0s9d9p61k4,3cr0s9d9p61k4,QB,Lancaster Christian Academy,TN,4425,4425,402.3,219,299,0.732,50,5,148,11,2013,passing
