tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
1,Zach,Mason,Zach Mason,/oh/elyria/elyria-pioneers/athletes/zach-mason/football/stats/?careerid=ld502onji05o8,ld502onji05o8,"OLB, MLB",Elyria,OH,247,247,22.5,191,56,18.0,2.0,11,2015,tackles
2,Austin,Rees,Austin Rees,/ca/merced/stone-ridge-christian-knights/athletes/austin-rees/football/stats/?careerid=gu7fsn7gbtdbb,gu7fsn7gbtdbb,"FB, LB",Stone Ridge Christian,CA,234,234,15.6,89,145,30.0,2.0,15,2015,tackles
3,Tyler,Pendleton,Tyler Pendleton,/tn/evensville/rhea-county-golden-eagles/athletes/tyler-pendleton/football/stats/?careerid=ep8ek1f44ql00,ep8ek1f44ql00,"LB, TE",Rhea County,TN,233,233,16.6,154,79,10.0,1.0,14,2015,tackles
4,Samuel,Morton,Samuel Morton,/mo/strafford/strafford-indians/athletes/samuel-morton/football/stats/?careerid=8ncf6rf0vbjee,8ncf6rf0vbjee,"MLB, G",Strafford,MO,232,232,21.1,144,88,12.0,4.0,11,2015,tackles
5,Malachi,Newell,Malachi Newell,/pa/farrell/farrell-steelers/athletes/malachi-newell/football/stats/?careerid=q5tglf4nohsdd,q5tglf4nohsdd,"LB, RB",Farrell,PA,232,232,14.5,104,128,16.5,3.0,16,2015,tackles
6,Steven,Demetropoulos,Steven Demetropoulos,/ms/pascagoula/resurrection-catholic-eagles/athletes/steven-demetropoulos/football/stats/?careerid=a9ncbndo9ietd,a9ncbndo9ietd,"LB, RB",Resurrection Catholic,MS,225,225,16.1,153,72,1.0,2.0,14,2015,tackles
7,Chris,Coleman,Chris Coleman,/tx/dallas/first-baptist-saints/athletes/chris-coleman/football/stats/?careerid=60c5t4kv258qa,60c5t4kv258qa,"ILB, OL",First Baptist,TX,223,223,17.2,104,119,0.0,6.0,13,2015,tackles
8,Joshua,Hurlburt,Joshua Hurlburt,/va/falls-church/george-c-marshall-statesmen/athletes/joshua-hurlburt/football/stats/?careerid=stlsua3c2la88,stlsua3c2la88,"MLB, FB",George C. Marshall,VA,222,222,20.2,110,112,8.0,0.0,11,2015,tackles
9,Alex,Roederer,Alex Roederer,/in/clarksville/providence-pioneers/athletes/alex-roederer/football/stats/?careerid=kksvaqh045hqa,kksvaqh045hqa,"S, HB",Providence,IN,221,221,20.1,136,85,9.0,0.0,11,2015,tackles
10,Payton,Marksbury,Payton Marksbury,/in/boonville/boonville-pioneers/athletes/payton-marksbury/football/stats/?careerid=ggc18trd727g0,ggc18trd727g0,"RB, LB",Boonville,IN,218,218,19.8,48,170,0.0,1.0,11,2015,tackles
11,Chase,Kennedy,Chase Kennedy,/sc/st-george/dorchester-academy-raiders/athletes/chase-kennedy/football/stats/?careerid=e3qufah620rm6,e3qufah620rm6,MLB,Dorchester Academy,SC,218,218,19.8,138,80,0.0,0.0,11,2015,tackles
12,Kyle,Doran,Kyle Doran,/mo/springfield/glendale-falcons/athletes/kyle-doran/football/stats/?careerid=mbuqsl8upink4,mbuqsl8upink4,"RB, LB",Glendale,MO,218,218,19.8,60,158,8.0,0.0,11,2015,tackles
13,Bryce,Williams,Bryce Williams,/ar/jonesboro/jonesboro-hurricane/athletes/bryce-williams/football/stats/?careerid=q1sl8sn007ovf,q1sl8sn007ovf,MLB,Jonesboro,AR,217,217,18.1,111,106,6.0,1.0,12,2015,tackles
